section,tier,component,import_path,minimalistic_sample,key_props,advanced_features,enterprise_features,category,variants,patterns,dependencies,ai_guidance,optimization_notes
component,1,Button,src/components/atoms/form/Button,"import { Button } from 'src/components';<br/><Button variant=""primary"">Submit</Button>","variant,size,loading,disabled","commerceState,userRole,auditTrail,iconLeft/Right","RBAC,audit_logging",form,"primary|secondary|outline|ghost|destructive","CRUD_actions,form_submission","none","use_for_user_actions","single_responsibility_UI_element"
component,1,Input,src/components/atoms/form/Input,"import { Input } from 'src/components';<br/><Input label=""Email"" type=""email"" value={email} onChange={setEmail} />","type,label,value,onChange","status,leftIcon/rightIcon,encryptionLevel","field_encryption,validation",form,"text|email|password|number","form_creation,validation","none","foundation_form_element","validation_states_built_in"
component,1,Select,src/components/atoms/form/Select,"import { Select } from 'src/components';<br/><Select options={[{value:'us',label:'USA'}]} value={country} onChange={setCountry} />","options,value,onChange","searchable,multiple,groupBy","RBAC,validation",form,"single|multiple|searchable","form_creation,filtering","none","dropdown_selection","options_driven_component"
component,1,MultiSelect,src/components/atoms/form/MultiSelect,"import { MultiSelect } from 'src/components';<br/><MultiSelect options={skills} value={selected} onChange={setSelected} />","options,value,onChange","maxSelections,searchable","validation,audit",form,"tags|checkboxes","advanced_forms,filtering","none","multiple_choice_selection","constraint_based_selection"
component,1,DatePicker,src/components/atoms/form/DatePicker,"import { DatePicker } from 'src/components';<br/><DatePicker label=""Start Date"" value={date} onChange={setDate} />","value,onChange,format","showTime,minDate,maxDate","timezone_support,validation",form,"date|datetime|range","scheduling,reporting","none","temporal_data_input","calendar_integration"
component,1,FileUpload,src/components/atoms/form/FileUpload,"import { FileUpload } from 'src/components';<br/><FileUpload accept=""image/*"" onUpload={handleFile} />","accept,maxFileSize,onUpload","multiple,encryptionLevel","encryption,virus_scan,audit",form,"single|multiple|drag_drop","document_management","none","file_handling_component","security_focused_uploads"
component,1,Textarea,src/components/atoms/form/Textarea,"import { Textarea } from 'src/components';<br/><Textarea label=""Comments"" value={text} onChange={setText} />","label,value,onChange","rows,maxLength,autoResize","validation,encryption",form,"fixed|auto_resize","comments,descriptions","none","multi_line_text_input","auto_sizing_capability"
component,1,Checkbox,src/components/atoms/form/Checkbox,"import { Checkbox } from 'src/components';<br/><Checkbox checked={agreed} onChange={setAgreed} label=""I agree"" />","checked,onChange,label","indeterminate,disabled","RBAC,audit",form,"checked|unchecked|indeterminate","agreements,selections","none","boolean_input_control","tri_state_support"
component,1,Radio,src/components/atoms/form/Radio,"import { Radio } from 'src/components';<br/><Radio name=""choice"" value=""a"" checked={selected==='a'} onChange={setSelected} />","name,value,checked","disabled,description","RBAC,validation",form,"selected|unselected","exclusive_choices","none","single_choice_groups","mutually_exclusive_options"
component,1,Switch,src/components/atoms/form/Switch,"import { Switch } from 'src/components';<br/><Switch checked={enabled} onChange={setEnabled} label=""Enable notifications"" />","checked,onChange","size,disabled,label","RBAC,audit",form,"on|off","settings,toggles","none","binary_state_control","modern_toggle_interface"
component,1,Icon,src/components/atoms/display/Icon,"import { Icon } from 'src/components';<br/><Icon name=""search"" size={20} />","name,size,color","title,decorative,custom_size","accessibility,theming",display,"basic|arrows|status|actions","visual_communication","lucide_react","universal_visual_language","icon_library_integration"
component,1,Badge,src/components/atoms/display/Badge,"import { Badge } from 'src/components';<br/><Badge variant=""primary"">New</Badge>","variant,children","size,removable","status_mapping,theming",display,"primary|secondary|success|warning|error","status_indication,notifications","none","status_visual_indicator","small_informational_element"
component,1,Avatar,src/components/atoms/display/Avatar,"import { Avatar } from 'src/components';<br/><Avatar src=""/user.jpg"" alt=""John Doe"" size=""md"" />","src,alt,size","fallback,initials","user_context,privacy",display,"image|initials|icon","user_representation","none","user_identity_display","fallback_hierarchy_support"
component,1,Label,src/components/atoms/display/Label,"import { Label } from 'src/components';<br/><Label htmlFor=""email"">Email Address</Label>","htmlFor,children","required,className","accessibility,i18n",display,"required|optional","form_accessibility","none","form_element_labeling","accessibility_compliance_helper"
component,1,Status,src/components/atoms/display/Status,"import { Status } from 'src/components';<br/><Status status=""approved"" showIcon={true} />","status,showIcon","commerceState,showText","state_mapping,audit",display,"approved|rejected|pending|active","workflow_states,process_tracking","none","business_state_visualization","commerce_state_integration"
component,1,ThemeToggle,src/components/atoms/display/ThemeToggle,"import { ThemeToggle } from 'src/components';<br/><ThemeToggle />",none,"automatic_theme_switching","user_preferences,system_sync",display,"light|dark|system","user_preferences","theme_provider","theme_management_control","automatic_system_detection"
component,1,Tooltip,src/components/atoms/display/Tooltip,"import { Tooltip } from 'src/components';<br/><Tooltip content=""Help text"">?</Tooltip>","content,children","position,delay","accessibility,i18n",display,"top|bottom|left|right","help_system,information","none","contextual_help_provider","hover_focus_trigger"
component,1,Alert,src/components/atoms/feedback/Alert,"import { Alert } from 'src/components';<br/><Alert variant=""error"">Something went wrong</Alert>","variant,children","dismissible,icon","auto_dismiss,audit",feedback,"info|success|warning|error","user_feedback,validation","none","user_notification_system","message_hierarchy_support"
component,1,Modal,src/components/atoms/feedback/Modal,"import { Modal } from 'src/components';<br/><Modal isOpen={open} onClose={setOpen}>Content</Modal>","isOpen,onClose,children","size,title,preventClose","focus_trap,accessibility",feedback,"small|medium|large|fullscreen","dialogs,confirmations","none","overlay_content_container","focus_management_built_in"
component,1,Toast,src/utils/hooks/useToast,"import { useToast } from 'src/utils';<br/>const {showToast} = useToast();<br/>showToast({title: ""Success""});","title,description,variant","duration,position","queue_management,persistence",feedback,"success|error|warning|info","notifications,feedback","redux_store","temporary_user_messages","auto_dismiss_queue_system"
component,1,Spinner,src/components/atoms/feedback/Spinner,"import { Spinner } from 'src/components';<br/><Spinner size=""md"" />",size,"color,className","animation_control,theming",feedback,"small|medium|large","loading_states","none","loading_indication","animated_loading_indicator"
component,1,LoadingState,src/components/atoms/feedback/LoadingState,"import { LoadingState } from 'src/components';<br/><LoadingState message=""Loading..."" />",message,"spinner,overlay","timeout_handling,cancel",feedback,"overlay|inline","async_operations","none","comprehensive_loading_ui","timeout_cancel_support"
component,1,Breadcrumb,src/components/atoms/navigation/Breadcrumb,"import { Breadcrumb } from 'src/components';<br/><Breadcrumb items={[{label:'Home',href:'/'}]} />","items,separator","maxItems,showHome","route_integration,i18n",navigation,"linear|hierarchical","navigation_hierarchy","react_router","location_awareness_component","route_integration_automatic"
