Schema,SubSchema,SubSchema Type,Key Properties,Property Title,Description,Property Type,Format,Required,Options
Countries,Country,object,CountryCode,Country Code,ISO 3-letter country code,string,text,True,
Countries,Country,object,CountryName,Country Name,Full name of the country,string,text,True,
Countries,Country,object,Region,Region,Geographic region,string,text,False,
Countries,Country,object,Currency,Currency,Primary currency code,string,text,False,
Countries,Country,object,Language,Language,Primary language,string,text,False,
Countries,Country,object,Active,Active,Whether the country is active for shipments,boolean,checkbox,True,
Countries,Country,object,Notes,Notes,Additional country information,string,textarea,False,
Cities,City,object,CityCode,City Code,Unique identifier for the city,string,text,True,
Cities,City,object,CityName,City Name,Full name of the city,string,text,True,
Cities,City,object,CountryCode,Country Code,Country where city is located,string,text,True,
Cities,City,object,StateProvince,State/Province,State or province of the city,string,text,False,
Cities,City,object,Timezone,Timezone,Timezone of the city,string,text,False,
Cities,City,object,Active,Active,Whether the city is active for shipments,boolean,checkbox,True,
Cities,City,object,Notes,Notes,Additional city information,string,textarea,False,
Ports,Port,object,PortCode,Port Code,Unique identifier for the port,string,text,True,
Ports,Port,object,PortName,Port Name,Full name of the port,string,text,True,
Ports,Port,object,PortType,Port Type,Type of port facility,enum,select,True,"[""Airport"",""Seaport"",""Rail Terminal"",""Road Terminal"",""Multimodal""]"
Ports,Port,object,Country,Country,Country where port is located,string,text,True,
Ports,Port,object,City,City,City where port is located,string,text,True,
Ports,Port,object,Region,Region,Geographic region of the port,string,text,False,
Ports,Port,object,Active,Active,Whether the port is currently active,boolean,checkbox,True,
Ports,Port,object,Notes,Notes,Additional information about the port,string,textarea,False,
PortConnections,Connection,array,OriginPort,Origin Port,Port code of origin,string,text,True,
PortConnections,Connection,array,DestinationPort,Destination Port,Port code of destination,string,text,True,
PortConnections,Connection,array,TransportMode,Transport Mode,Available transport modes between ports,enum,select,True,"[""Air"",""Sea"",""Rail"",""Road"",""Multimodal""]"
PortConnections,Connection,array,TransitTime,Transit Time,Average transit time in days,number,integer,True,
PortConnections,Connection,array,Active,Active,Whether this connection is currently active,boolean,checkbox,True,
PortConnections,Connection,array,Notes,Notes,Additional information about the connection,string,textarea,False,
Organizations,Organization,object,OrgCode,Organization Code,Unique identifier for the organization,string,text,True,
Organizations,Organization,object,OrgName,Organization Name,Full name of the organization,string,text,True,
Organizations,Organization,object,OrgType,Organization Type,Type of organization,enum,select,True,"[""Buyer"",""Seller"",""Carrier"",""Customs Broker"",""Insurance Provider"",""Warehouse"",""Other""]"
Organizations,Organization,object,Country,Country,Country of organization registration,string,text,True,
Organizations,Organization,object,City,City,City of organization location,string,text,False,
Organizations,Organization,object,ContactPerson,Contact Person,Primary contact person,string,text,False,
Organizations,Organization,object,Phone,Phone Number,Contact phone number,string,phone,False,
Organizations,Organization,object,Email,Email,Contact email address,string,email,False,
Organizations,Organization,object,Website,Website,Organization website URL,string,url,False,
Organizations,Organization,object,Active,Active,Whether the organization is currently active,boolean,checkbox,True,
Organizations,Organization,object,Rating,Rating,Service quality rating (1-5),number,integer,False,
Organizations,Organization,object,Notes,Notes,Additional organization information,string,textarea,False,
Carriers,Carrier,object,CarrierCode,Carrier Code,Unique identifier for the carrier,string,text,True,
Carriers,Carrier,object,CarrierName,Carrier Name,Full name of the carrier company,string,text,True,
Carriers,Carrier,object,CarrierType,Carrier Type,Type of carrier service,enum,select,True,"[""Air Freight"",""Ocean Freight"",""Rail Freight"",""Road Freight"",""Express"",""Multimodal""]"
Carriers,Carrier,object,Country,Country,Country of carrier registration,string,text,True,
Carriers,Carrier,object,ContactPerson,Contact Person,Primary contact person,string,text,False,
Carriers,Carrier,object,Phone,Phone Number,Contact phone number,string,phone,False,
Carriers,Carrier,object,Email,Email,Contact email address,string,email,False,
Carriers,Carrier,object,Website,Website,Carrier website URL,string,url,False,
Carriers,Carrier,object,Active,Active,Whether the carrier is currently active,boolean,checkbox,True,
Carriers,Carrier,object,Rating,Rating,Service quality rating (1-5),number,integer,False,
Carriers,Carrier,object,Notes,Notes,Additional carrier information,string,textarea,False,
ItemTypes,ItemType,object,TypeCode,Type Code,Unique identifier for item type,string,text,True,
ItemTypes,ItemType,object,TypeName,Type Name,Name of the item type,string,text,True,
ItemTypes,ItemType,object,Category,Category,Category of the item type,string,text,False,
